Datetime,Close,High,Low,Open,Volume,ATM_Strike,EMA_5,EMA_15,Close_fut,Open_Interest,IV_CE,IV_PE,LTP_CE,LTP_PE,OI_CE,OI_PE,Volume_CE,Volume_PE,Delta_CE,Delta_PE,Gamma,Theta_CE,Theta_PE,Vega,IV_Spread,PCR_OI,Futures_Basis,Gamma_Exposure,Avg_IV,Regime,Signal,Market_Returns,Strategy_Ret,Target,ML_Prob,ML_Signal,ML_Strategy_Returns
2025-10-27 03:45:00+00:00,25861.400390625,25877.599609375,25828.099609375,25851.94921875,0,25850,25861.400390625,25861.400390625,25913.12319140625,180649,0.1564099761019751,0.1465915832634536,100.0,110.0,21903.0,15005.0,3987.6666666666665,4073.3333333333335,0.5326282479345154,-0.4656637805395949,0.0008398451941553,-21.240120304678346,-15.46275443140293,12.034967096561427,0.0098183928385215,0.685065972697804,0.0019999999999999,801625.9940905622,0.1515007796827143,2,0,,,1,0.5729073,0,
2025-10-27 03:50:00+00:00,25880.94921875,25882.900390625,25862.849609375,25862.849609375,0,25900,25867.91666666667,25863.843994140625,25932.7111171875,349220,0.1476716923214371,0.1387601516168508,100.0,110.0,23217.33333333333,41968.66666666666,7239.333333333333,3398.0,0.5070154584291172,-0.4929634356793861,0.0008917166716753,-20.147300313302622,-14.464326741348344,12.082635645010823,0.0089115407045863,1.807643714466204,0.002,1504393.3994591497,0.1432159219691439,2,0,0.0007559075622249,0.0,1,0.42165616,0,0.0
2025-10-27 03:55:00+00:00,25889.05078125,25891.0,25867.25,25880.099609375,0,25900,25874.961371527785,25866.994842529297,25940.8288828125,108155,0.1624997292090509,0.1483798617384023,100.0,110.0,30259.666666666668,36748.333333333336,5751.666666666667,3730.3333333333335,0.513598838053443,-0.4857978722003118,0.0008097488076721,-21.96384466427837,-15.654636417339765,12.081263409971136,0.0141198674706485,1.2144328534132345,0.002,1404730.7851499948,0.1554397954737266,2,0,0.0003130318919728,0.0,1,0.54747635,0,0.0
2025-10-27 04:00:00+00:00,25896.55078125,25899.25,25880.94921875,25889.150390625,0,25900,25882.1578414352,25870.689334869385,25948.3438828125,489327,0.1606669200716156,0.1520979008477216,100.0,110.0,28996.33333333333,22732.0,8136.0,7040.0,0.5198074957311696,-0.4794883956758596,0.0008182148711716,-21.76440139919165,-16.12475635398625,12.076882016946357,0.0085690192238939,0.7839611904953501,0.0019999999999999,1096068.7044816134,0.1563824104596686,2,0,0.000289697759233,0.0,1,0.5074389,0,0.0
2025-10-27 04:05:00+00:00,25921.5,25927.0,25895.94921875,25897.05078125,0,25900,25895.27189429013,25877.04066801071,25973.343,262729,0.1477788813550927,0.1744571599925214,100.0,110.0,17619.0,28826.33333333333,7085.666666666667,8337.333333333334,0.5430427696266609,-0.4623738970125877,0.0008846294250385,-20.252941900211,-18.85320539785715,12.032923458330744,-0.0266782786374286,1.6360936110638131,0.002,1065034.2992631034,0.161118020673807,2,0,0.0009634186019886,0.0,1,0.73394954,0,0.0
2025-10-27 04:10:00+00:00,25937.19921875,25944.650390625,25919.75,25921.69921875,0,25950,25909.24766911009,25884.560486853123,25989.0736171875,107643,0.1576292950081978,0.1494346217790022,100.0,110.0,24278.0,29055.33333333333,6531.0,5223.666666666667,0.5122628952881306,-0.487457785483357,0.0008333093355663,-21.412305018763067,-15.805878745032734,12.105046885204947,0.0081946732291955,1.1967762308811816,0.0019999999999999,1152731.2131961656,0.1535319583936,2,0,0.0006056446868429,0.0,1,0.5483831,0,0.0
2025-10-27 04:15:00+00:00,25941.80078125,25942.44921875,25926.30078125,25937.400390625,0,25950,25920.098706490066,25891.71552365273,25993.6843828125,477863,0.1300904217037523,0.1519960444201862,100.0,110.0,29792.33333333333,13115.666666666666,3784.3333333333335,5545.666666666667,0.5180810514999209,-0.4835749985102828,0.0010089733627617,-18.105575283527592,-16.13007448667285,12.100474533531385,-0.0219056227164338,0.4402363024044218,0.0019999999999999,1123099.1348159176,0.1410432330619692,2,0,0.0001774116958885,0.0,1,0.5525855,0,0.0
2025-10-27 04:20:00+00:00,25943.25,25945.19921875,25926.55078125,25941.650390625,0,25950,25927.81580432671,25898.15733319614,25995.1365,481903,0.1555847522207646,0.1456696195289445,100.0,110.0,23218.0,25611.33333333333,6532.333333333333,3201.6666666666665,0.517434604113046,-0.4818577403510319,0.0008436554086973,-21.18444120919872,-15.371399551444371,12.102024533364617,0.00991513269182,1.1030809429465642,0.002,1068735.586719631,0.1506271858748545,2,0,5.586423094605664e-05,0.0,0,0.5227201,0,0.0
2025-10-27 04:25:00+00:00,25935.849609375,25946.44921875,25931.650390625,25943.44921875,0,25950,25930.493739342808,25902.8688677185,25987.72130859375,341477,0.1404166816876167,0.150877405406775,100.0,110.0,35666.666666666664,34063.333333333336,8288.333333333334,6854.666666666667,0.5116505267242192,-0.4886857034977934,0.0009355501334446,-19.32949015056053,-15.97527345656322,12.10497422410775,-0.0104607237191582,0.9550467289719629,0.002,1691948.7717715325,0.1456470435471958,2,0,-0.0002852530282443,-0.0,0,0.49650872,0,-0.0
2025-10-27 04:30:00+00:00,25929.94921875,25942.400390625,25920.69921875,25935.75,0,25950,25930.31223247854,25906.25391159744,25981.8091171875,477174,0.1602597580042587,0.1391254036009811,100.0,110.0,25369.0,19496.33333333333,3650.0,7041.0,0.5062391071762042,-0.4938748385263251,0.000820148004125,-21.70370889028908,-14.53218919611544,12.105902932665224,0.0211343544032776,0.7685101239045027,0.0019999999999999,954123.94977232,0.1496925808026199,2,0,-0.0002274994154372,-0.0,1,0.61025715,0,-0.0
