Datetime,Close,High,Low,Open,Volume,ATM_Strike,EMA_5,EMA_15,Close_fut,Open_Interest,IV_CE,IV_PE,LTP_CE,LTP_PE,OI_CE,OI_PE,Volume_CE,Volume_PE
2025-10-27 03:45:00+00:00,25861.400390625,25877.599609375,25828.099609375,25851.94921875,0,25850,25861.400390625,25861.400390625,25913.12319140625,180649,0.15640997610197513,0.1465915832634536,100.0,110.0,21903.0,15005.0,3987.6666666666665,4073.3333333333335
2025-10-27 03:50:00+00:00,25880.94921875,25882.900390625,25862.849609375,25862.849609375,0,25900,25867.91666666667,25863.843994140625,25932.7111171875,349220,0.1476716923214371,0.13876015161685082,100.0,110.0,23217.333333333332,41968.666666666664,7239.333333333333,3398.0
2025-10-27 03:55:00+00:00,25889.05078125,25891.0,25867.25,25880.099609375,0,25900,25874.961371527785,25866.994842529297,25940.8288828125,108155,0.16249972920905092,0.14837986173840237,100.0,110.0,30259.666666666668,36748.333333333336,5751.666666666667,3730.3333333333335
2025-10-27 04:00:00+00:00,25896.55078125,25899.25,25880.94921875,25889.150390625,0,25900,25882.157841435197,25870.689334869385,25948.3438828125,489327,0.16066692007161568,0.15209790084772162,100.0,110.0,28996.333333333332,22732.0,8136.0,7040.0
2025-10-27 04:05:00+00:00,25921.5,25927.0,25895.94921875,25897.05078125,0,25900,25895.27189429013,25877.04066801071,25973.343,262729,0.14777888135509276,0.17445715999252145,100.0,110.0,17619.0,28826.333333333332,7085.666666666667,8337.333333333334
2025-10-27 04:10:00+00:00,25937.19921875,25944.650390625,25919.75,25921.69921875,0,25950,25909.24766911009,25884.560486853123,25989.0736171875,107643,0.15762929500819786,0.1494346217790022,100.0,110.0,24278.0,29055.333333333332,6531.0,5223.666666666667
2025-10-27 04:15:00+00:00,25941.80078125,25942.44921875,25926.30078125,25937.400390625,0,25950,25920.098706490066,25891.71552365273,25993.6843828125,477863,0.13009042170375237,0.15199604442018624,100.0,110.0,29792.333333333332,13115.666666666666,3784.3333333333335,5545.666666666667
2025-10-27 04:20:00+00:00,25943.25,25945.19921875,25926.55078125,25941.650390625,0,25950,25927.81580432671,25898.15733319614,25995.1365,481903,0.15558475222076465,0.1456696195289445,100.0,110.0,23218.0,25611.333333333332,6532.333333333333,3201.6666666666665
2025-10-27 04:25:00+00:00,25935.849609375,25946.44921875,25931.650390625,25943.44921875,0,25950,25930.493739342808,25902.8688677185,25987.72130859375,341477,0.14041668168761673,0.15087740540677508,100.0,110.0,35666.666666666664,34063.333333333336,8288.333333333334,6854.666666666667
2025-10-27 04:30:00+00:00,25929.94921875,25942.400390625,25920.69921875,25935.75,0,25950,25930.31223247854,25906.25391159744,25981.8091171875,477174,0.16025975800425873,0.1391254036009811,100.0,110.0,25369.0,19496.333333333332,3650.0,7041.0
