Datetime,Close,High,Low,Open,Volume,ATM_Strike,EMA_5,EMA_15,Close_fut,Open_Interest,IV_CE,IV_PE,LTP_CE,LTP_PE,OI_CE,OI_PE,Volume_CE,Volume_PE,Delta_CE,Gamma,Theta_CE,Vega,Delta_PE,Theta_PE,Avg_IV,IV_Spread,PCR_OI,Futures_Basis,Delta_Neutral_Ratio,Gamma_Exposure
2025-10-27 03:45:00+00:00,25861.400390625,25877.599609375,25828.099609375,25851.94921875,0,25850,25861.400390625,25861.400390625,25913.12319140625,180649,0.1564099761019751,0.1465915832634536,100.0,110.0,21903.0,15005.0,3987.6666666666665,4073.3333333333335,,,,,,,0.15150077968271436,0.009818392838521511,0.685065972697804,0.0019999999999999315,,
2025-10-27 03:50:00+00:00,25880.94921875,25882.900390625,25862.849609375,25862.849609375,0,25900,25867.91666666667,25863.843994140625,25932.7111171875,349220,0.1476716923214371,0.1387601516168508,100.0,110.0,23217.33333333333,41968.66666666666,7239.333333333333,3398.0,,,,,,,0.14321592196914396,0.008911540704586302,1.8076437144662034,0.0020000000000000135,,
2025-10-27 03:55:00+00:00,25889.05078125,25891.0,25867.25,25880.099609375,0,25900,25874.961371527785,25866.994842529297,25940.8288828125,108155,0.1624997292090509,0.1483798617384023,100.0,110.0,30259.666666666668,36748.333333333336,5751.666666666667,3730.3333333333335,,,,,,,0.1554397954737266,0.014119867470648584,1.2144328534132343,0.0020000000000000204,,
2025-10-27 04:00:00+00:00,25896.55078125,25899.25,25880.94921875,25889.150390625,0,25900,25882.1578414352,25870.689334869385,25948.3438828125,489327,0.1606669200716156,0.1520979008477216,100.0,110.0,28996.33333333333,22732.0,8136.0,7040.0,,,,,,,0.1563824104596686,0.008569019223893998,0.7839611904953501,0.001999999999999998,,
2025-10-27 04:05:00+00:00,25921.5,25927.0,25895.94921875,25897.05078125,0,25900,25895.27189429013,25877.04066801071,25973.343,262729,0.1477788813550927,0.1744571599925214,100.0,110.0,17619.0,28826.33333333333,7085.666666666667,8337.333333333334,,,,,,,0.16111802067380704,-0.026678278637428693,1.6360936110638133,0.002000000000000029,,
2025-10-27 04:10:00+00:00,25937.19921875,25944.650390625,25919.75,25921.69921875,0,25950,25909.24766911009,25884.560486853123,25989.0736171875,107643,0.1576292950081978,0.1494346217790022,100.0,110.0,24278.0,29055.33333333333,6531.0,5223.666666666667,,,,,,,0.1535319583936,0.008194673229195593,1.1967762308811816,0.0019999999999999853,,
2025-10-27 04:15:00+00:00,25941.80078125,25942.44921875,25926.30078125,25937.400390625,0,25950,25920.098706490066,25891.71552365273,25993.6843828125,477863,0.1300904217037523,0.1519960444201862,100.0,110.0,29792.33333333333,13115.666666666666,3784.3333333333335,5545.666666666667,,,,,,,0.14104323306196925,-0.021905622716433898,0.4402363024044218,0.001999999999999937,,
2025-10-27 04:20:00+00:00,25943.25,25945.19921875,25926.55078125,25941.650390625,0,25950,25927.81580432671,25898.15733319614,25995.1365,481903,0.1555847522207646,0.1456696195289445,100.0,110.0,23218.0,25611.33333333333,6532.333333333333,3201.6666666666665,,,,,,,0.15062718587485455,0.009915132691820094,1.1030809429465642,0.00200000000000002,,
2025-10-27 04:25:00+00:00,25935.849609375,25946.44921875,25931.650390625,25943.44921875,0,25950,25930.493739342808,25902.8688677185,25987.72130859375,341477,0.1404166816876167,0.150877405406775,100.0,110.0,35666.666666666664,34063.333333333336,8288.333333333334,6854.666666666667,,,,,,,0.14564704354719585,-0.010460723719158294,0.9550467289719627,0.002000000000000039,,
2025-10-27 04:30:00+00:00,25929.94921875,25942.400390625,25920.69921875,25935.75,0,25950,25930.31223247854,25906.25391159744,25981.8091171875,477174,0.1602597580042587,0.1391254036009811,100.0,110.0,25369.0,19496.33333333333,3650.0,7041.0,,,,,,,0.1496925808026199,0.0211343544032776,0.7685101239045027,0.0019999999999999415,,
