Datetime,Close,High,Low,Open,Volume,ATM_Strike,EMA_5,EMA_15,Open_Interest
2025-10-27 03:45:00+00:00,25913.123191406252,25877.599609375,25828.099609375,25851.94921875,0,25850,25861.400390625,25861.400390625,180649
2025-10-27 03:50:00+00:00,25932.7111171875,25882.900390625,25862.849609375,25862.849609375,0,25900,25867.91666666667,25863.843994140625,349220
2025-10-27 03:55:00+00:00,25940.8288828125,25891.0,25867.25,25880.099609375,0,25900,25874.961371527785,25866.994842529297,108155
2025-10-27 04:00:00+00:00,25948.3438828125,25899.25,25880.94921875,25889.150390625,0,25900,25882.157841435197,25870.689334869385,489327
2025-10-27 04:05:00+00:00,25973.343,25927.0,25895.94921875,25897.05078125,0,25900,25895.27189429013,25877.04066801071,262729
2025-10-27 04:10:00+00:00,25989.0736171875,25944.650390625,25919.75,25921.69921875,0,25950,25909.24766911009,25884.560486853123,107643
2025-10-27 04:15:00+00:00,25993.6843828125,25942.44921875,25926.30078125,25937.400390625,0,25950,25920.098706490066,25891.71552365273,477863
2025-10-27 04:20:00+00:00,25995.1365,25945.19921875,25926.55078125,25941.650390625,0,25950,25927.81580432671,25898.15733319614,481903
2025-10-27 04:25:00+00:00,25987.72130859375,25946.44921875,25931.650390625,25943.44921875,0,25950,25930.493739342808,25902.8688677185,341477
2025-10-27 04:30:00+00:00,25981.8091171875,25942.400390625,25920.69921875,25935.75,0,25950,25930.31223247854,25906.25391159744,477174
2025-10-27 04:35:00+00:00,26016.1276171875,25967.44921875,25926.599609375,25930.25,0,25950,25941.60789456903,25913.49707499151,126372
2025-10-27 04:40:00+00:00,26013.77330859375,25974.849609375,25955.69921875,25964.349609375,0,25950,25948.355132837693,25919.541141789443,173450
2025-10-27 04:45:00+00:00,26018.433,25970.19921875,25957.25,25962.75,0,25950,25954.4034218918,25925.410999065763,154299
2025-10-27 04:50:00+00:00,26027.2513828125,25976.650390625,25964.349609375,25965.75,0,26000,25961.36920834453,25931.647221838797,291119
2025-10-27 04:55:00+00:00,26022.1905,25978.650390625,25964.900390625,25974.900390625,0,25950,25964.32947222969,25936.472569108944,338980
2025-10-27 05:00:00+00:00,26016.9808828125,25971.150390625,25956.75,25969.80078125,0,25950,25964.5699085698,25940.044845626577,417470
2025-10-27 05:05:00+00:00,26009.2153828125,25965.55078125,25946.75,25965.55078125,0,25950,25962.146866129868,25942.201837579505,110922
2025-10-27 05:10:00+00:00,26015.427,25966.900390625,25955.94921875,25957.5,0,25950,25962.597910753248,25944.864107882066,164987
2025-10-27 05:15:00+00:00,26008.76330859375,25966.44921875,25956.19921875,25963.75,0,25950,25960.681810293838,25946.36229556868,225913
2025-10-27 05:20:00+00:00,26007.7123828125,25966.0,25949.55078125,25957.5,0,25950,25959.05480061256,25947.542106278845,150166
2025-10-27 05:25:00+00:00,26018.3821171875,25967.80078125,25952.150390625,25955.30078125,0,25950,25961.51960665837,25949.905495337734,215748
2025-10-27 05:30:00+00:00,26019.6346171875,25979.400390625,25960.44921875,25966.55078125,0,25950,25963.579477355583,25952.12971076427,491159
2025-10-27 05:35:00+00:00,26022.6406171875,25976.05078125,25960.30078125,25968.900390625,0,25950,25965.95272448705,25954.450899262487,495262
2025-10-27 05:40:00+00:00,26028.2533828125,25981.30078125,25969.75,25973.099609375,0,26000,25969.40207674137,25957.182134510927,203871
2025-10-27 05:45:00+00:00,26020.1356171875,25980.94921875,25965.80078125,25975.650390625,0,25950,25969.001124077586,25958.55927004081,499909
2025-10-27 05:50:00+00:00,26032.4101171875,25981.650390625,25967.099609375,25968.69921875,0,26000,25972.817155635057,25961.295513629462,178729
2025-10-27 05:55:00+00:00,26029.80530859375,25986.900390625,25973.69921875,25981.849609375,0,26000,25974.49464021504,25963.364775597656,355121
2025-10-27 06:00:00+00:00,26024.1436171875,25979.349609375,25969.5,25978.44921875,0,25950,25973.72949972669,25964.4690809917,328963
2025-10-27 06:05:00+00:00,26024.9968828125,25978.650390625,25969.30078125,25972.400390625,0,25950,25973.503260234465,25965.54179352399,479983
