timestamp,Strike,Type,LTP,IV,OI,Volume
2025-10-27 03:45:00+00:00,25800,CE,100,0.13394922138746368,24726,2395
2025-10-27 03:45:00+00:00,25800,PE,110,0.12806075083922336,28511,3369
2025-10-27 03:45:00+00:00,25850,CE,100,0.1644913767320776,8715,8153
2025-10-27 03:45:00+00:00,25850,PE,110,0.16988643669222087,11189,6961
2025-10-27 03:45:00+00:00,25900,CE,100,0.17078933018638426,32268,1415
2025-10-27 03:45:00+00:00,25900,PE,110,0.1418275622589167,5315,1890
2025-10-27 03:50:00+00:00,25850,CE,100,0.16313707015108536,43017,7343
2025-10-27 03:50:00+00:00,25850,PE,110,0.13883204472267147,40423,2652
2025-10-27 03:50:00+00:00,25900,CE,100,0.1443121503946212,16707,9256
2025-10-27 03:50:00+00:00,25900,PE,110,0.12150723974031383,35722,4657
2025-10-27 03:50:00+00:00,25950,CE,100,0.13556585641860486,9928,5119
2025-10-27 03:50:00+00:00,25950,PE,110,0.15594117038756722,49761,2885
2025-10-27 03:55:00+00:00,25850,CE,100,0.15539665010125298,42936,4975
2025-10-27 03:55:00+00:00,25850,PE,110,0.16908399820427608,17248,5277
2025-10-27 03:55:00+00:00,25900,CE,100,0.16498706442714878,31925,9961
2025-10-27 03:55:00+00:00,25900,PE,110,0.13701443343537828,49086,4442
2025-10-27 03:55:00+00:00,25950,CE,100,0.16711547309875124,15918,2319
2025-10-27 03:55:00+00:00,25950,PE,110,0.13904115357555294,43911,1472
2025-10-27 04:00:00+00:00,25850,CE,100,0.16085962884754984,8656,7791
2025-10-27 04:00:00+00:00,25850,PE,110,0.1353735959344748,16680,7044
2025-10-27 04:00:00+00:00,25900,CE,100,0.15680321416252493,33751,9760
2025-10-27 04:00:00+00:00,25900,PE,110,0.17268557734785167,10813,7322
2025-10-27 04:00:00+00:00,25950,CE,100,0.1643379172047723,44582,6857
2025-10-27 04:00:00+00:00,25950,PE,110,0.14823452926083855,40703,6754
2025-10-27 04:05:00+00:00,25850,CE,100,0.13599774814087623,13343,9952
